"batter","totalBatterStrikeoutRate","totalBatterWalkRate","totalBatterwOBA","pitcher","bats","BsRperPA","DefperInn"
543543,0.304271693588932,0.0958932954248739,0.391336057336177,543543,"L",-0.00263171854746658,-0.00226264571718196
605154,0.224096196560197,0.083228851653893,0.35930826446281,605154,"L",0,0
543208,0.237366434066917,0.0794313156973777,0.364237305997069,543208,"R",0,0
543089,0.221891173469388,0.0800282409221147,0.358369549819115,543089,"R",0,0
592647,0.256478895394473,0.0863090781884953,0.365728384009878,592647,"S",0,0
605538,0.22559248469408,0.0803227400992226,0.343516134939759,605538,"R",0,0
605182,0.224441478672986,0.0842864758842444,0.3547,605182,"R",0,0
543542,0.231693742822967,0.0837533972963228,0.366301355661882,543542,"R",0,0
543807,0.194442593981654,0.096849815547917,0.384407853374586,543807,"R",-0.00233222985794143,-0.000805438932071509
571718,0.282760800284284,0.100601410775209,0.399497553145283,571718,"L",-0.00143513189448441,0
543510,0.247543119425932,0.0598841694331775,0.34881434300609,543510,"R",-0.00535129696060709,0.00843913790371574
543685,0.133371424423239,0.0883123547726689,0.409319718893463,543685,"R",0.00325771834378504,0.0068773723831367
542881,0.405587541410615,0.0576909487068637,0.311452581663489,542881,"L",0,0
570256,0.206701615165223,0.0990792712784362,0.373445759153874,570256,"L",0.00130053891807081,-0.00306120848233733
596019,0.144359668602547,0.0853149301312122,0.397360842050461,596019,"S",0.00223900043628802,0.0107041460140852
605164,0.226378596987952,0.0819246148197435,0.358557396817987,605164,"S",0,0
605151,0.234921712264151,0.0850876153846154,0.363242802544054,605151,"R",0,0
593700,0.226595565334906,0.0471059624323841,0.315967526281246,593700,"S",0.00454240419079129,0
607043,0.263508428290114,0.136656353542136,0.412696342202164,607043,"L",0.0014569441425777,0
591741,0.193585308537214,0.0513684974827414,0.342938132669336,591741,"R",-0.0022890899710283,0
593647,0.215153842627014,0.0760875377621375,0.353897279937078,593647,"L",0,0
595943,0.242019745098066,0.0775278992091059,0.342398355835026,595943,"R",0,0
591994,0.236450479046167,0.0929960782208181,0.356313257575758,591994,"R",-0.00295294117647059,0
592731,0.274004020144628,0.077242190408182,0.367231279904306,592731,"R",0,0
605397,0.248634797686592,0.0695369324396193,0.327024331876426,605397,"R",0,0
605452,0.327212403504483,0.0724428323540637,0.342432881824256,605452,"R",0,0
595978,0.274494580575283,0.0542052068248012,0.362992163345841,595978,"R",-0.00315711994821321,0.00656205085754197
605421,0.228096035366932,0.0715820023401622,0.356346283801946,605421,"L",0,0
595879,0.270423778432242,0.0446757358908002,0.45034862905421,595879,"R",0.00413438930598791,0.00274707497569328
595956,0.196567540401153,0.0830264038160851,0.350469853929927,595956,"R",0,0
605508,0.190666587804133,0.0739079453094486,0.321233911769419,605508,"L",-0.00580661157024793,0
598265,0.258053020474657,0.0850398455540866,0.39726526502103,598265,"L",0.00636372242472403,0.00537525658730671
605509,0.221448549303049,0.0705159017138942,0.304728955813651,605509,"R",0.000783653390232338,0
605520,0.294654542447798,0.089194066043486,0.353742338709677,605520,"L",0,0
607430,0.242364554968762,0.0804043035130212,0.340149520045172,607430,"R",0,0
543101,0.304311627442927,0.06881413400358,0.358861806220096,543101,"R",0,0
606192,0.305977851981902,0.0782444089823876,0.442333425974031,606192,"R",-0.00146998087954111,-0.0091457337883959
612672,0.282840726638416,0.04834826806432,0.32376353629171,612672,"R",0,0
